aab | arrabury airport | tanbar | brisbane
mzh | merzifon airport | merzifon | istanbul
mzl | la nubia airport | villamaria | bogota
mzo | sierra maestra airport | manzanillo | havana
mzr | mazar-i-sharif airport | mazar-e sharif | kabul
mzt | mazatlan international airport | villa union | mazatlan
mzv | mulu airport |  | kuching
nag | dr. babasaheb ambedkar international airport | nagpur | kolkata
naj | nakhichevan airport | tazakend | baku
nal | nalchik airport | nartan | moscow
nan | nadi international airport |  | fiji
nao | nanchong airport | nanchong | shanghai
nap | naples international airport | casavatore | rome
naq | qaanaaq airport |  | godthab
nas | lynden pindling international airport |  | nassau
nat | sao goncalo do amarante-governador aluizio alves intl airport | parnamirim | fortaleza
naw | narathiwat airport | bacho | bangkok
nay | beijing nanyuan airport | nanyuan | shanghai
nbc | begishevo airport | yelabuga | moscow
nbe | enfidha - hammamet international airport | harqalah | tunis
nbj | dr. antonio agostinho neto international airport |  | luanda
nbo | jomo kenyatta international airport | pumwani | nairobi
nbs | changbaishan airport | manjiang | shanghai
nce | cote d'azur airport | saint-laurent-du-var | paris
ncl | newcastle international airport | ponteland | london
ncu | nukus airport | nukus | samarkand
ndb | nouadhibou airport |  | nouakchott
ndg | qiqihar airport | nanhang | shanghai
ndj | ndjamena airport | n'djamena | ndjamena
ndr | nador international airport | selouane | casablanca
nei | terney airport | terney | vladivostok
ner | neryungri airport | neryungri | yakutsk
nev | newcastle airport | newcastle | st kitts
new | lakefront airport | arabi | chicago
ngb | ningbo airport | gulin | shanghai
ngk | nogliki airport | nogliki | sakhalin
ngo | chubu centrair international airport | tokoname | tokyo
ngs | nagasaki airport |  | tokyo
nhv | nuku hiva airport |  | marquesas
nif | nifty airport |  | perth
nim | niamey airport | niamey | niamey
njc | nizhnevartovsk airport | nizhnevartovsk | yekaterinburg
njf | al-najaf international airport | an najaf | baghdad
njj | nenjian melgen airport | changfu | shanghai
nkc | nouakchott international airport | nouakchott | nouakchott
nkg | nanjing lukou international airport | lukou | shanghai
nkm | nagoya airport | komaki | tokyo
nkp | nakhon phanom airport | nakhon phanom | bangkok
nla | simon mwansa kapwepwe international airport | ndola | lusaka
nld | quetzalcoatl international airport | nuevo laredo | matamoros
nlh | ninglang luguhu airport | daxing | shanghai
nlk | norfolk island airport | kingston | norfolk
nlp | nelspruit airport | nelspruit | johannesburg
nlt | nalati airport | tuergen | shanghai
nma | namangan airport | namangan shahri | tashkent
nme | nightmute airport |  | anchorage
nmf | maafaru international airport | manadhoo | maldives
nnb | santa ana airport |  | guadalcanal
nng | nanning airport |  | shanghai
nnm | naryan-mar airport | iskateley | moscow
nnt | nan airport | nan | bangkok
nnx | nunukan airport | binalawan | makassar
nny | nanyang airport |  | shanghai
noc | ireland west airport knock | swinford | dublin
nod | norden norddeich airport | norden | berlin
noj | nojabrxsk airport | noyabrsk | yekaterinburg
nop | sinop airport - turkey |  | istanbul
nos | fascene airport | hell-ville | antananarivo
nou | tontouta airport | paita | noumea
noz | novokuznetsk airport | novokuznetsk | novokuznetsk
npe | hawkes bay airport | napier | auckland
npl | new plymouth airport | waitara | auckland
npy | mpanda airport | mpanda | dar es salaam
nqn | presidente peron international airport | plottier | argentina
nqt | nottingham airport |  | london
nqy | newquay cornwall airport | saint columb major | london
nqz | nursultan nazarbayev international airport | nur-sultan | almaty
nrk | kungsangen airport | lindo | stockholm
nrl | north ronaldsay airport |  | london
nrn | weeze airport | weeze | berlin
nrt | narita international airport | narita | tokyo
nsh | now shahr airport | nowshahr | tehran
nsi | nsimalen airport |  | douala
nsk | noril'sk airport | kayyerkan | krasnoyarsk
nsn | nelson airport | richmond | auckland
nsr | são raimundo nonato airport | são raimundo nonato | fortaleza
nst | nakhon si thammarat airport | nakhon si thammarat | bangkok
ntb | notodden airport | notodden | oslo
nte | nantes atlantique airport | bouguenais | paris
ntg | nantong xingdong airport | xingdong | shanghai
ntl | newcastle airport | medowie | sydney
ntn | normanton airport |  | brisbane
ntq | noto airport | nanao | tokyo
ntr | aeropuerto del norte international airport | monterrey | monterrey
nty | pilanesberg international airport | muldersdriseloop | johannesburg
nue | nuremberg airport | nuernberg | berlin
nui | nuiqsut airport |  | anchorage
nul | nulato airport |  | anchorage
num | neom airport | duba | riyadh
nus | norsup airport | norsup | efate
nux | novy urengoy airport | novyy urengoy | yekaterinburg
nva | benito salas airport | neiva | bogota
nvi | navoi airport | konimex | samarkand
nvm | brigadeiro eduardo gomes airport | nova mutum | cuiaba
nvt | navegantes airport | navegantes | sao paulo
nwi | norwich international airport | spixworth | london
nya | nyagan airport | nyagan | yekaterinburg
nym | nadym airport | staryy nadym | yekaterinburg
nyo | stockholm skavsta airport | svalsta | stockholm
nyr | nyurba airport | nyurba | yakutsk
nyt | nay pyi taw airport | pyinmana | rangoon
nyu | nyaung u airport |  | rangoon
nyw | monywar airport | monywa | yangon
nzc | maria reiche neuman airport | nazca | lima
nzg | nizhneangarsk airport |  | irkutsk
nzh | manzhouli airport | zabaykal'sk | shanghai
nzl | zhalantun chengjisihan airport | qinggis han | shanghai
oag | orange airport | millthorpe | sydney
oaj | albert j ellis airport | richlands | new york
oak | san francisco bay oakland international airport | san leandro | los angeles
oal | cacoal airport | cacoal | porto velho
oax | xoxocotlan airport | animas trujano | mexico city
obn | oban airport | oban | london
obo | tokachi-obihiro airport | obihiro | tokyo
obu | kobuk/wien airport |  | anchorage
occ | coca airport | puerto francisco de orellana | guayaquil
ocs | corisco international airport | cocobeach | malabo
odm | garrett county airport | oakland | new york
odn | long seridan airport | bangar | kuching
odo | bodaybo airport | bodaybo | irkutsk
ods | odessa international airport | odessa | kiev
ody | oudomxay airport | viangxai | vientiane
oer | ornskoldsvik airport | husum | stockholm
ogg | kahului airport | kahului | honolulu
ogl | ogle airport | georgetown | guyana
ogs | ogdensburg airport | ogdensburg | new york
ogu | ordu giresun airport | gulyali | istanbul
ogx | ain beida airport | rouissat | algiers
ogz | vladikavkaz airport | dalakovo | moscow
ohd | ohrid airport | misleshevo | skopje
ohe | mohe airport | xilinji | shanghai
ohh | novostroyka airport | okha | srednekolymsk
ohs | sohar airport | al sohar | muscat
oir | okushiri airport | kamiiso | tokyo
oit | oita airport | kitsuki | tokyo
oju | tanjung api airport |  | jakarta
oka | naha airport | tomigusuku | tokyo
okc | will rogers world airport |  | chicago
okd | okadama airport | sapporo | tokyo
okj | okayama airport | okayama-shi | tokyo
olb | olbia costa smeralda airport | olbia | rome
olf | wolf point international airport | wolf point | denver
olg | olare airport | bomet | nairobi
olp | olympic dam airport |  | adelaide
olv | olive branch airport | olive branch | chicago
olx | olkiombo airport | kihancha | nairobi
olz | olokminsk airport | olyokminsk | yakutsk
omd | oranjemund airport |  | windhoek
ome | nome airport |  | nome
omh | urmia airport | orumiyeh | tehran
omo | mostar airport | blagaj | sarajevo
omr | oradea airport | nojorid | bucharest
oms | omsk airport | omsk | omsk
ond | ondangwa airport | ondangwa | windhoek
ong | mornington airport |  | brisbane
onj | odate noshiro airport | takanosu | tokyo
onk | olenyok airport | olenyok | yakutsk
ono | ontario municipal airport | ontario | boise
ons | onslow airport | dampier | perth
ont | ontario international airport | rancho cucamonga | los angeles
ook | toksook bay airport |  | anchorage
ool | gold coast airport | tugun | brisbane
oom | snowy mountains airport | berridale | sydney
opf | opa-locka executive airport | miami lakes | new york
opo | porto airport | santa cruz do bispo | lisbon
opp | salinópolis airport | salinópolis | belem
ops | sinop airport |  | cuiaba
orb | orebro-bofors airport | vintrosa | stockholm
ord | o'hare international airport | rosemont | chicago
orf | norfolk international airport | norfolk | new york
orh | worcester regional airport | leicester | new york
ork | cork airport | cork | dublin
orn | es senia airport |  | algiers
orv | robert (bob) curtis memorial airport |  | anchorage
ory | paris orly airport | paray-vieille-poste | paris
osd | are ostersund airport | krokom | stockholm
osf | ostafyevo international business airport | shcherbinka | moscow
osi | osijek airport | osijek | zagreb
osj | ol seki airport | narok | nairobi
osl | oslo airport gardermoen | teigebyen | oslo
osr | mosnov airport | petrvald | prague
oss | osh airport | osh | bishkek
ost | ostend-bruges international airport | middelkerke | brussels
osw | orsk airport | orsk | yekaterinburg
osy | namsos airport | namsos | oslo
oth | southwest oregon regional airport | north bend | los angeles
otp | bucharest henri coanda international airport | otopeni | bucharest
otq | otog front banner oljoq airport | ordos city | shanghai
otz | ralph wien memorial airport |  | nome
oua | ouagadougou international airport | ouagadougou | ouagadougou
oud | les angades airport | oujda | casablanca
oul | oulu airport | oulunsalo | helsinki
ovb | novosibirsk tolmachevo airport | ob' | phnom penh
ovd | asturias airport | castrillon | madrid
ovs | sovetsky airport | sovetskiy | yekaterinburg
owb | daviess county airport | owensboro | chicago
owk | central maine airport of norridgewock | norridgewock | new york
oxb | osvaldo vieira airport | bissau | bissau
oyc | camopi airport | camopi | cayenne
ozc | labo airport | lapase | manila
ozg | zagora airport | zagora | casablanca
ozh | zaporozhye airport | zaporizhzhya | zaporozhye
ozz | ouarzazate airport | ouarzazat | casablanca
pac | marcos a. gelabert international airport | chepillo | panama
pad | paderborn lippstadt airport | salzkotten | berlin
pag | pagadian airport | pagadian | manila
pah | barkley regional airport | massac | chicago
pap | toussaint louverture international airport | delmas 73 | port-au-prince
pas | paros airport | antiparos | athens
pat | jay prakash narayan international airport | patna | kolkata
pav | paulo afonso airport | paulo afonso | bahia
paz | el tajin national airport | poza rica de hidalgo | mexico city
pbc | huejotsingo airport | santa maria zacatepec | mexico city
pbg | plattsburgh international airport | plattsburgh west | new york
pbh | paro airport | paro | thimphu
pbi | palm beach international airport | haverhill | new york
pbm | zanderij international airport | onverwacht | paramaribo
pbo | paraburdoo airport |  | perth
pbz | plettenberg bay airport | plettenberg bay | johannesburg
pcd | prairie du chien municipal airport | prairie du chien | chicago
pcl | capitan rolden airport | puerto callao | lima
pcr | puerto carreno airport |  | bogota
pdg | minangkabau international airport | lubukalung | jakarta
pdk | dekalb peachtree airport | doraville | new york
pdl | joao paulo ii airport | arrifes | azores
pdm | pedasí airport | pedasi | panama
pdp | capitan de corbeta carlos a. curbelo international airport | maldonado | montevideo
pds | piedras negras international airport | piedras negras | matamoros
pdt | eastern oregon regional airport | pendleton | los angeles
pdv | plovdiv airport | kaloyanovo | sofia
pdx | portland international airport | walnut grove | los angeles
ped | pardubice airport |  | prague
pee | perm international airport | kultayevo | yekaterinburg
peg | sant egidio airport | perugia | rome
pei | matecana international airport | pereira | bogota
pek | beijing capital international airport |  | shanghai
pem | puerto maldonado airport | puerto maldonado | lima
pen | penang international airport | kampung sungai ara | kuala lumpur
per | perth airport | redcliffe | perth
pes | petrozavodsk airport | petrozavodsk | moscow
pet | federal airport | pelotas | sao paulo
pew | bacha khan international airport | peshawar | karachi
pex | pechora airport | puteyets | moscow
pez | penza airport | zasechnoye | moscow
pfb | passo fundo airport | passo fundo | sao paulo
pfo | paphos international airport | paphos | nicosia
pga | page airport | page | phoenix
pgd | charlotte county airport | cleveland | new york
pgf | llabanere airport | peyrestortes | paris
pgh | pantnagar airport | kichha | kolkata
pgk | depati amir airport | pangkalpinang | jakarta
pgq | buli airport | buli | jayapura
pgu | ala'marvdasht airport | bandar-e `asaluyeh | tehran
pgv | pitt-greenville airport | greenville | new york
pgx | perigueux airport | perigueux | paris
pgz | comte antonio amilton beraldo airport | ponta grossa | sao paulo
phc | port harcourt international airport | emuoha | lagos
phe | port hedland international airport |  | perth
phf | newport news/williamsburg international airport | yorktown | new york
phl | philadelphia international airport | colwyn | new york
pho | point hope airport |  | anchorage
phq | the monument airport |  | brisbane
phs | phitsanulok airport | phitsanulok | bangkok
phw | phalaborwa airport | phalaborwa | johannesburg
phx | phoenix sky harbor international airport | tempe junction | phoenix
pia | peoria international airport | bellevue | chicago
pib | hattiesburg-laurel regional airport | rawls springs | chicago
pie | st. petersburg-clearwater international airport | south highpoint | new york
pih | pocatello regional airport | chubbuck | boise
pik | glasgow prestwick airport | prestwick | london
pio | capitan fap renan elias olivera airport | pisco | lima
pir | pierre regional airport | pierre | chicago
pis | poitiers-biard airport | biard | paris
pit | pittsburgh international airport | carnot-moon | new york
piu | cap. fap guillermo concha iberico international airport | piura | lima
pix | pico island airport |  | azores
piz | dew station airport |  | anchorage
pja | pajala airport | pajala | stockholm
pkb | wood county airport | reno | new york
pkc | petropavlovsk-kamchatsky airport | petropavlovsk-kamchatsky | kamchatka
pke | parkes airport | parkes | sydney
pkg | pangkor airport |  | kuala lumpur
pkn | iskandar airport | pangkalanbuun | pontianak
pkr | pokhara airport | pokhara | kathmandu
pku | sultan syarif kasim ii international airport |  | jakarta
pkv | pskov airport | pskov | moscow
pkx | beijing daxing international airport | lixian | shanghai
pky | tjilik riwut airport | palangkaraya | pontianak
pkz | pakse airport | pakxe | vientiane
plm | sultan mahmud badaruddin ii airport | talangbetutu | jakarta
pln | emmet county airport | indian river | detroit
plo | port lincoln airport | port lincoln | adelaide
plq | palanga international airport | palanga | vilnius
pls | providenciales international airport | abraham's bay | grand turk
plu | belo horizonte airport | santa luzia | sao paulo
plw | mutiara airport | palu | makassar
plx | semipalatinsk airport | semey | almaty
plz | port elizabeth international airport | port elizabeth | johannesburg
pma | wawi airport | chake chake | dar es salaam
pmc | el tepual airport | puerto montt | santiago
pmd | la palmdale regional airport | palmdale | los angeles
pmf | parma airport | parma | rome
pmi | palma de mallorca airport | s'arenal | madrid
pmk | palm island airport | ingham | brisbane
pmo | falcone-borsellino airport | cinisi | rome
pmr | palmerston north airport | palmerston north | auckland
pmv | santiago marino international airport | san juan bautista | caracas
pmw | palmas airport |  | araguaina
pna | pamplona airport | beriain | madrid
pnh | phnom penh international airport | phnom penh | phnom penh
pni | pohnpei airport | kolonia town | pohnpei
pnk | supadio international airport | pontianak | pontianak
pnl | pantelleria airport | pantelleria | rome
pnp | girua airport |  | port moresby
pnq | pune airport | lohogaon | kolkata
pnr | pointe noire airport | pointe-noire | brazzaville
pns | pensacola international airport | ferry pass | chicago
pnz | petrolina international airport | petrolina | recife
poa | salgado filho international airport | porto alegre | sao paulo
pol | pemba airport | pemba | maputo
pom | jacksons international airport |  | port moresby
pop | la union airport | puerto plata | santo domingo
por | pori airport | pori | helsinki
pos | piarco international airport | arouca | port of spain
poz | poznan airport | baranowo | warsaw
ppb | a. de barros airport | alvares machado | sao paulo
ppg | pago pago international airport | tafuna | pago pago
ppk | petropavlovsk airport | bishkul | almaty
ppn | guillermo leon valencia airport | popayan | bogota
ppp | whitsunday coast airport |  | brisbane
ppq | paraparaumu airport | paraparaumu | auckland
pps | puerto princesa international airport | puerto princesa | manila
ppt | tahiti faa'a airport | faaa | tahiti
ppw | papa westray airport |  | london
pqc | phu quoc airport | duong gjong | ho chi minh
pqi | presque isle municipal airport | presque isle | new york
pqq | port macquarie airport |  | sydney
pqs | pilot station airport |  | anchorage
pra | general justo jose de urquiza airport | san benito | argentina
prc | prescott airport | chino valley | phoenix
prg | vaclav havel airport prague | hostivice | prague
prh | phrae airport | phrae | bangkok
pri | praslin island airport | victoria | mahe
prm | portimao airport | portimao | lisbon
prn | pristina international airport | glanica | belgrade
pry | wonderboom airport | pretoria | johannesburg
psa | pisa international airport | pisa | rome
psc | tri-cities airport | pasco | los angeles
pse | mercedita airport | aguilita | puerto rico
psg | petersburg municipal airport |  | anchorage
psn | palestine municipalcipal airport | palestine | chicago
pso | cano airport | san lorenzo | bogota
psp | palm springs international airport | palm springs | los angeles
psr | abruzzo airport | sambuceto | rome
pss | posadas airport | posadas | argentina
psu | putussibau airport | kapit | makassar
ptb | dinwiddie county airport | petersburg | new york
ptg | polokwane airport | mankoeng | johannesburg
ptp | pointe-a-pitre international airport | les abymes | guadeloupe
pts | atkinson municipal airport | frontenac | chicago
ptu | platinum airport |  | anchorage
pty | tocumen international airport | tocumen | panama
pub | pueblo memorial airport | pueblo | denver
puf | the pau-pyrenees international airport | uzein | paris
puj | punta cana international airport | punta cana | santo domingo
puq | pres ibanez airport |  | santiago
pus | gimhae international airport | kimhae | seoul
puu | puerto asis airport |  | bogota
puw | moscow regional airport | pullman | los angeles
puy | pula airport | galizana | zagreb
pvc | provincetown airport | provincetown | new york
pvd | theodore francis green memorial state airport | warwick | new york
pvg | shanghai pudong international airport | laogang | shanghai
pvh | porto velho international airport | porto velho | porto velho
pvk | aktion airport | preveza | athens
pvl | pike county airport | coal run village | new york
pvr | gustavo diaz ordaz international airport | las jarretaderas | mexico city
pvu | provo airport | provo | denver
pwe | pevek airport | pevek | anadyr
pwk | chicago executive airport | wheeling | chicago
pwq | pavlodar airport | pavlodar | almaty
pxa | atung bungsu airport | kotaagung | jakarta
pxm | puerto escondido airport | puerto escondido | mexico city
pxo | porto santo airport | vila de porto santo | madeira
pxu | pleiku airport | pleiku | ho chi minh
pyg | gangtok-pakyong airport | rangpo | kolkata
pyj | polyarnyj airport | udachny | yakutsk
pyt | pedro rabelo de souza airport | paracatu | sao paulo
pyy | pai airport | pai | bangkok
pzb | pietermaritzburg airport | pietermaritzburg | johannesburg
pzo | manuel carlos piar guayana airport | ciudad guayana | caracas
pzs | temuco maquehue airport |  | santiago
pzu | port sudan airport | port sudan | khartoum
qaq | l'aquila–preturo airport | preturo | rome
qbc | bella coola airport |  | vancouver
qdv | comte. rolim adolfo amaro state airport | jundiaí | sao paulo
qgp | garanhuns airport | garanhuns | recife
qig | dr. francisco tomé da frota airport | iguatu | fortaleza
qks | keystone airport | elk lick township | denver
qlr | leiria gandara airport | leiria | lisbon
qlu | lublin radawiec airport | swidnik | warsaw
qow | sam mbakwe international airport | ihuo | lagos
qro | queretaro intercontinental airport | santiago de queretaro | mexico city
qsf | setif airport | ain arnat | algiers
qsz | shache airport | zepu | shanghai
quo | akwa ibom airport | esuk oron | lagos
qxd | quixadá regional airport | quixadá | fortaleza
rab | tokua airport |  | port moresby
rae | arar airport | 'ar'ar | riyadh
rah | rafha airport | as salman | riyadh
rai | nelson mandela international airport | praia | cape verde
raj | civil airport | rajkot | kolkata
rak | menara airport | marrakesh | casablanca
rao | dr. leite lopes state airport | ribeirao preto | sao paulo
rap | rapid city regional airport | box elder | denver
rar | rarotonga airport | avarua | rarotonga
ras | rasht airport | rasht | tehran
rba | sale airport | sale | casablanca
rbf | big bear city airport | big bear city | los angeles
rbg | roseburg municipal airport | roseburg | los angeles
rbr | pres. medici airport | rio branco | rio branco
rby | ruby airport |  | anchorage
rcb | richards bay airport | richards bay | johannesburg
rch | riohacha airport | riohacha | bogota
rdd | redding municipal airport | anderson | los angeles
rdl | al bardawil international airport | el hassana | cairo
rdm | roberts field redmond municipal airport | redmond | los angeles
rdo | radom airport | radom | warsaw
rdp | kazi nazrul islam airport | bahula | kolkata
rdu | raleigh-durham international airport | morrisville | new york
rdz | marcillac airport | salles-la-source | paris
rec | guararapes-gilberto freyre international airport | recife | recife
reg | tito menniti airport | reggio calabria | rome
rel | trelew airport | trelew | argentina
ren | orenburg airport | nezhinka | yekaterinburg
rep | siem reap international airport | siem reap | phnom penh
res | resistencia airport | fontana | argentina
ret | stolport airport | rost | oslo
reu | reus airport | vila-seca | madrid
rex | gen lucio blanco international airport | vamos tamaulipas | matamoros
rfd | chicago rockford international airport | winnebago | chicago
rfp | raiatea airport | uturoa | tahiti
rga | rio grande airport | rio grande | argentina
rgi | rangiroa airport |  | tahiti
rgk | gorno-altaysk airport | aya | novokuznetsk
rgl | rio gallegos internacional airport |  | argentina
rgn | yangon international airport | yangon | rangoon
rhd | rio hondo airport | termas de rio hondo | argentina
rhi | oneida county airport | rhinelander | chicago
rho | rhodes airport | kremasti | athens
ria | santa maria airport | santa maria | sao paulo
rib | gen buech airport | riberalta | la paz
ric | richmond international airport (byrd field) | fort lee | new york
rid | richmond municipalcipal airport | richmond | indiana
rih | scarlett martínez international airport | rio hato | panama
ris | rishiri airport | rishiri town | tokyo
riw | riverton airport | riverton | denver
rix | riga international airport | pinki | riga
rja | rajahmundry airport | rajahmundry | kolkata
rjh | rajshahi airport | rajshahi | dhaka
rjk | rijeka airport | omisalj | zagreb
rjl | agoncillo airport | agoncillo | madrid
rjm | marinda airport | saonek | jayapura
rkd | knox county regional airport | south thomaston | new york
rke | roskilde airport | havdrup | copenhagen
rks | rock springs-sweetwater county airport | rock springs | denver
rkt | ras al khaimah international airport | ras al-khaimah | dubai
rkv | reykjavik international airport | kopavogur | reykjavik
rkw | rockwood municipal airport | rockwood | new york
rlg | laage airport | laage | berlin
rlk | bayannur tianjitai airport | xamba | shanghai
rma | roma airport |  | brisbane
rmf | marsa alam international airport | marsa alam | cairo
rmi | miramare airport | rivazzurra | rome
rmo | chișinău international airport | chișinău | chisinau
rmq | taichung international airport | fengyuan | taipei
rmz | tobolsk remezov airport | tobolsk | yekaterinburg
rna | ulawa airport |  | guadalcanal
rnb | kallinge airport |  | stockholm
rnh | new richmond municipal airport | new richmond | chicago
rnj | yoron airport | nago | tokyo
rnn | bornholm airport | ronne | copenhagen
rno | reno/tahoe international airport | sparks | los angeles
rns | rennes airport | saint-jacques-de-la-lande | paris
roa | roanoke-blacksburg regional airport | hollins | new york
rob | roberts international airport | kakata | monrovia
roc | greater rochester international airport |  | new york
roi | roi et airport | chiang khwan | bangkok
rok | rockhampton airport | west rockhampton | brisbane
roo | rondonopolis airport | rondonopolis | cuiaba
rop | rota airport | yigo village | saipan
ror | airai airport | ngetkib | palau
ros | fisherton airport | funes | argentina
rot | rotorua international airport | rotorua | auckland
rov | platov international airport | grushevskaya | moscow
rox | roseau municipal airport | roseau | chicago
rpr | swami vivekananda airport | bhatgaon | kolkata
rpu | san fernando airport |  | manila
rqa | ruoqiang loulan airport | ruoqiang | shanghai
rqy | shivamogga airport | sogane | kolkata
rrg | rodrigues island airport | baie aux huitres | mauritius
rrj | jacarepaguá airport | rio de janeiro | sao paulo
rrl | merrill municipal airport | merrill | chicago
rrs | roros airport |  | oslo
rsa | santa rosa airport | santa rosa | argentina
rsd | south eleuthera airport | governor's harbour | nassau
rst | rochester international airport | stewartville | chicago
rsu | yeosu airport |  | seoul
rsw | southwest florida international airport | gateway | new york
rtb | roatan airport | coxen hole | tegucigalpa
rtm | rotterdam the hague airport | delfshaven | amsterdam
rtw | saratov tsentralny airport | saratov | samara
ruh | king khaled international airport | riyadh | riyadh
rui | ruidoso sierra blanca regional airport |  | denver
rul | maavaarulaa airport | viligili | maldives
run | reunion roland garros airport | sainte-marie | reunion
rut | rutland airport | rutland | new york
rvd | rio verde airport | santa helena de goias | sao paulo
rvi | rostov airport | imeni chkalova | moscow
rvk | ryumsjoen airport | rorvik | oslo
rvn | rovaniemi airport | rovaniemi | helsinki
rxs | roxas city airport | roxas city | manila
ryg | moss airport | rygge | oslo
ryk | rahim yar khan airport | sadiqabad | karachi
ryl | royal airport | chirundu | lusaka
rze | rzeszow international airport | trzebownisko | warsaw
rzp | clr airport | taytay | manila
rzv | rize–artvin airport |  | istanbul
sab | j. yrausquin airport | upper hell's gate | kralendijk
sac | sacramento executive airport |  | los angeles
sah | sana'a international airport | ar rawdah | aden
sai | siem reap–angkor international airport | sotr nikum | phnom penh
sal | el salvador international airport | el rosario | el salvador
san | san diego international airport | san diego | los angeles
sap | ramon villeda morales international airport | la lima | tegucigalpa
sat | san antonio international airport | alamo heights | chicago
sav | savannah/hilton head airport | pooler | new york
saw | sabiha gokcen international airport | pendik | istanbul
sba | santa barbara municipal airport | goleta | los angeles
sbh | st. barthelemy airport | gustavia | st barthelemy
sbp | san luis county regional airport | san luis obispo | los angeles
sbw | sibu airport | sibu | kuching
sby | wicomico regional airport | salisbury | new york
sbz | sibiu airport | sura mica | bucharest
scc | prudhoe bay/deadhorse airport |  | anchorage
sce | university park airport | houserville | new york
scf | scottsdale airport | paradise valley | phoenix
sck | stockton airport | french camp | los angeles
scl | arturo merino benitez airport |  | santiago
scn | ensheim airport | sankt ingbert | berlin
sco | aktau international airport | aktau | aqtau
scq | santiago de compostela airport | oroso | madrid
scr | scandinavian mountains airport | innbygda | stockholm
scu | antonio maceo airport | santiago de cuba | havana
scv | suceava airport | plopeni | bucharest
scw | syktyvkar airport | syktyvkar | moscow
scy | san cristobal airport | puerto baquerizo moreno | galapagos
sdd | lubango airport | lubango | luanda
sde | santiago del estero airport | santiago del estero | argentina
sdf | louisville international airport | audubon park | kentucky
sdg | sanandaj airport | sanandaj | tehran
sdj | sendai airport | iwanuma | tokyo
sdk | sandakan airport | taman rajawali | kuching
sdl | sundsvall-timra airport | bergeforsen | stockholm
sdn | sandane airport | sandane | oslo
sdp | sand point municipal airport | sand point | anchorage
sdq | las americas international airport | boca chica | santo domingo
sdr | santander airport | el astillero | madrid
sdu | santos dumont airport | rio de janeiro | sao paulo
sdv | dov hoz airport | tel aviv | jerusalem
sdw | sindhudurg airport | sindhudurg | kolkata
sdy | richland municipal airport | sidney | denver
sea | seattle-tacoma international airport | seatac | los angeles
sef | sebring regional airport | sebring | new york
sek | srednekolymsk airport | srednekolymsk | srednekolymsk
sen | london southend airport | rochford | london
sez | seychelles international airport | cascade | mahe
sfa | sfax el maou airport | sfax | tunis
sfb | orlando sanford international airport | midway | new york
sfg | esperance airport |  | marigot
sfj | kangerlussuaq airport | qasigiannguit | godthab
sfn | santa fe airport | santo tome | argentina
sfo | san francisco international airport | millbrae | los angeles
sft | skelleftea airport | soedra bergsbyn | stockholm
sfy | tri-township airport | savanna | chicago
sgc | surgut airport | surgut | yekaterinburg
sgd | sonderborg airport | sonderborg | copenhagen
sge | siegerland airport | siegen | berlin
sgf | springfield-branson national airport | willard | chicago
sgn | tan son nhat international airport | quan phu nhuan | ho chi minh
sgu | saint george municipal airport | washington | denver
sha | shanghai hongqiao international airport | jiangqiao | shanghai
shb | nakashibetsu airport | shibetsu | tokyo
shd | shenandoah valley airport | weyers cave | new york
she | shenyang taoxian international airport | shenyang | shanghai
shf | shihezi huayuan airport | ulan us | shanghai
shg | shungnak airport | barrow | anchorage
shh | shishmaref airport |  | anchorage
shj | sharjah international airport |  | dubai
shl | shillong airport | shillong | kolkata
shm | shirahama airport | tanabe | tokyo
sho | king mswati iii international airport |  | mbabane
shv | shreveport regional airport | shreveport | chicago
shw | sharurah airport | manwakh | riyadh
shx | shageluk airport |  | anchorage
sia | xi'an xiguan airport |  | shanghai
sic | san jose island airport |  | panama
sid | amilcar cabral international airport | espargos | cape verde
sin | changi international airport | singapore | singapore
sip | simferopol international airport | rodnykove | simferopol
sis | sishen airport | kathu | johannesburg
sit | sitka airport |  | sitka
sjc | norman y. mineta san jose international airport | santa clara | los angeles
sjd | los cabos international airport | las veredas | mazatlan
sjj | sarajevo international airport | sarajevo | sarajevo
sjo | juan santamaria international airport | alajuela | costa rica
sjp | sao jose do rio preto airport | sao jose do rio preto | sao paulo
sjt | san angelo regional airport | san angelo | chicago
sju | luis munoz marin international airport | carolina | puerto rico
sjw | shijiazhuang daguocun airport |  | shanghai
sjz | sao jorge island airport | sao roque do pico | azores
skb | robert l. bradshaw international airport | monkey hill | st kitts
skd | samarkand airport | samarqand | samarkand
skg | thessaloniki international airport | neo rysi | athens
skk | shaktoolik airport |  | anchorage
skn | stokmarknes skagen airport | stokmarknes | oslo
skp | skopje alexander the great airport | petrovec | skopje
skt | sialkot airport | sialkot | karachi
sku | skiros airport | skyros | athens
skx | saransk airport | saransk | moscow
skz | sukkur airport | bagarji | karachi
sla | martin miguel de guemes international airport | cerrillos | argentina
slb | storm lake municipal airport | storm lake | chicago
slc | salt lake city international airport | salt lake city | denver
slk | adirondack airport | saranac lake | new york
sll | salalah international airport |  | muscat
slm | matacan airport | salamanca | madrid
sln | salina regional airport | salina | chicago
slp | san luis potosi airport | fraccion milpillas | mexico city
slu | george f. l. charles airport | bisee | st lucia
slw | plan de guadalupe international airport | ramos arizpe | monterrey
sly | salekhard airport | salekhard | yekaterinburg
slz | marechal cunha machado international airport | sao luis | fortaleza
